from_density_length_A,to_density_length_A,temperature_K,component,previous_kappa_W_mK,current_kappa_W_mK,signed_change_over_current,absolute_change_over_current,existing_strict_limit,change_over_limit,component_only_pass
45.0,60.0,300.0,xx,0.1320489838334474,0.13967743820082407,0.05461479295180585,0.05461479295180585,0.05,1.092295859036117,False
45.0,60.0,300.0,yy,0.14596505042788027,0.138418391158385,-0.05452063996943888,0.05452063996943888,0.05,1.0904127993887776,False
45.0,60.0,300.0,zz,0.08117056143608904,0.09151365963669428,0.1130224519669188,0.1130224519669188,0.05,2.260449039338376,False
45.0,60.0,300.0,trace/3,0.11972819856580556,0.12320316299863444,0.0282051560061603,0.0282051560061603,0.03,0.94017186687201,True
45.0,60.0,600.0,xx,0.06751525311618381,0.07129576942995738,0.05302581547265074,0.05302581547265074,0.05,1.0605163094530148,False
45.0,60.0,600.0,yy,0.07612614013997447,0.07235453113527796,-0.052126783845021556,0.052126783845021556,0.05,1.042535676900431,False
45.0,60.0,600.0,zz,0.04389188801610756,0.04905822149510086,0.1053102481407573,0.1053102481407573,0.05,2.106204962815146,False
45.0,60.0,600.0,trace/3,0.06251109375742193,0.06423617402011207,0.026855277248455395,0.026855277248455395,0.03,0.8951759082818466,True
45.0,60.0,900.0,xx,0.04521871764200894,0.04773475039664972,0.052708618642266336,0.052708618642266336,0.05,1.0541723728453267,False
45.0,60.0,900.0,yy,0.05118669371955415,0.04867239188975634,-0.051657659140580965,0.051657659140580965,0.05,1.0331531828116192,False
45.0,60.0,900.0,zz,0.029719811138138763,0.03316385022891971,0.10384919323322898,0.10384919323322898,0.05,2.0769838646645797,False
45.0,60.0,900.0,trace/3,0.04204174083323395,0.043190330838441926,0.026593683885043674,0.026593683885043674,0.03,0.8864561295014558,True
60.0,75.0,300.0,xx,0.13967743820082407,0.14232428945456294,0.01859732631641823,0.01859732631641823,0.05,0.37194652632836456,True
60.0,75.0,300.0,yy,0.138418391158385,0.13727922653678928,-0.008298157342039177,0.008298157342039177,0.05,0.16596314684078353,True
60.0,75.0,300.0,zz,0.09151365963669428,0.1135468509302332,0.19404493487077698,0.19404493487077698,0.05,3.8808986974155393,False
60.0,75.0,300.0,trace/3,0.12320316299863444,0.13105012230719515,0.059877542808900355,0.059877542808900355,0.03,1.9959180936300118,False
60.0,75.0,600.0,xx,0.07129576942995738,0.07259480338799039,0.017894310576064026,0.017894310576064026,0.05,0.35788621152128053,True
60.0,75.0,600.0,yy,0.07235453113527796,0.07180151528433036,-0.00770200808099494,0.00770200808099494,0.05,0.15404016161989878,True
60.0,75.0,600.0,zz,0.04905822149510086,0.060077827577092124,0.18342217963608715,0.18342217963608715,0.05,3.6684435927217427,False
60.0,75.0,600.0,trace/3,0.06423617402011207,0.06815804874980429,0.05754088917786803,0.05754088917786803,0.03,1.9180296392622678,False
