length_angstrom,mesh,temperature_K,component,kappa_W_mK,previous_length_angstrom,previous_kappa_W_mK,relative_change_abs_over_abs_current,denominator_abs_current_W_mK,relative_change_note
45.0,1x4x48,300.0,xx,0.1320489838334474,,,,,
45.0,1x4x48,300.0,yy,0.14596505042788027,,,,,
45.0,1x4x48,300.0,zz,0.08117056143608904,,,,,
45.0,1x4x48,300.0,yz,-1.1098610261941684e-17,,,,,
45.0,1x4x48,300.0,xz,2.258718211840969e-17,,,,,
45.0,1x4x48,300.0,xy,-1.397715132715331e-17,,,,,
45.0,1x4x48,300.0,trace_over_3,0.11972819856580556,,,,,
45.0,1x4x48,600.0,xx,0.06751525311618381,,,,,
45.0,1x4x48,600.0,yy,0.07612614013997447,,,,,
45.0,1x4x48,600.0,zz,0.04389188801610756,,,,,
45.0,1x4x48,600.0,yz,-6.007602582517547e-18,,,,,
45.0,1x4x48,600.0,xz,1.2215675655752895e-17,,,,,
45.0,1x4x48,600.0,xy,-7.320291973731756e-18,,,,,
45.0,1x4x48,600.0,trace_over_3,0.06251109375742193,,,,,
45.0,1x4x48,900.0,xx,0.04521871764200894,,,,,
45.0,1x4x48,900.0,yy,0.05118669371955415,,,,,
45.0,1x4x48,900.0,zz,0.029719811138138763,,,,,
45.0,1x4x48,900.0,yz,-4.068594752779782e-18,,,,,
45.0,1x4x48,900.0,xz,8.271658745591183e-18,,,,,
45.0,1x4x48,900.0,xy,-4.926161189158456e-18,,,,,
45.0,1x4x48,900.0,trace_over_3,0.04204174083323395,,,,,
60.0,1x1x440,300.0,xx,0.13967743820082407,45.0,0.1320489838334474,0.05461479295180585,0.13967743820082407,
60.0,1x1x440,300.0,yy,0.138418391158385,45.0,0.14596505042788027,0.05452063996943888,0.138418391158385,
60.0,1x1x440,300.0,zz,0.09151365963669428,45.0,0.08117056143608904,0.1130224519669188,0.09151365963669428,
60.0,1x1x440,300.0,yz,-1.243990028901563e-17,45.0,-1.1098610261941684e-17,,1.243990028901563e-17,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,300.0,xz,2.521480270619871e-17,45.0,2.258718211840969e-17,,2.521480270619871e-17,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,300.0,xy,-1.3083188326489204e-17,45.0,-1.397715132715331e-17,,1.3083188326489204e-17,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,300.0,trace_over_3,0.12320316299863444,45.0,0.11972819856580556,0.0282051560061603,0.12320316299863444,
60.0,1x1x440,600.0,xx,0.07129576942995738,45.0,0.06751525311618381,0.05302581547265074,0.07129576942995738,
60.0,1x1x440,600.0,yy,0.07235453113527796,45.0,0.07612614013997447,0.052126783845021556,0.07235453113527796,
60.0,1x1x440,600.0,zz,0.04905822149510086,45.0,0.04389188801610756,0.1053102481407573,0.04905822149510086,
60.0,1x1x440,600.0,yz,-6.6904248890387245e-18,45.0,-6.007602582517547e-18,,6.6904248890387245e-18,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,600.0,xz,1.3530233062530633e-17,45.0,1.2215675655752895e-17,,1.3530233062530633e-17,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,600.0,xy,-6.875343667192515e-18,45.0,-7.320291973731756e-18,,6.875343667192515e-18,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,600.0,trace_over_3,0.06423617402011207,45.0,0.06251109375742193,0.026855277248455395,0.06423617402011207,
60.0,1x1x440,900.0,xx,0.04773475039664972,45.0,0.04521871764200894,0.052708618642266336,0.04773475039664972,
60.0,1x1x440,900.0,yy,0.04867239188975634,45.0,0.05118669371955415,0.051657659140580965,0.04867239188975634,
60.0,1x1x440,900.0,zz,0.03316385022891971,45.0,0.029719811138138763,0.10384919323322898,0.03316385022891971,
60.0,1x1x440,900.0,yz,-4.525574061664416e-18,45.0,-4.068594752779782e-18,,4.525574061664416e-18,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,900.0,xz,9.148278862260799e-18,45.0,8.271658745591183e-18,,9.148278862260799e-18,not evaluated: off-diagonal value is numerical near-zero
60.0,1x1x440,900.0,xy,-4.6297926053839226e-18,45.0,-4.926161189158456e-18,,4.6297926053839226e-18,not evaluated: off-diagonal value is numerical near-zero
