mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-1.489960653815658675e+00,-1.811710000000000065e+01,-9.852830000000000865e+00,-3.523519999999999985e+00,1.585070000000000090e-01,1.503649999999999931e+00,1.039690000000000003e+00,-7.313419999999999366e-01
-1.477035245348815140e+00,-2.232910000000000039e+01,-1.346240000000000059e+01,-6.722459999999999880e+00,-2.704019999999999868e+00,-1.045169999999999932e+00,-1.208869999999999889e+00,-2.694259999999999877e+00
-1.464123442575093303e+00,-2.239329999999999998e+01,-1.449119999999999919e+01,-8.489770000000000039e+00,-4.825230000000000352e+00,-3.248979999999999979e+00,-3.336399999999999810e+00,-4.659660000000000579e+00
-1.451198034108248880e+00,-1.866999999999999815e+01,-1.317650000000000077e+01,-8.916550000000000864e+00,-6.217679999999999652e+00,-5.086129999999999818e+00,-5.309470000000000134e+00,-6.592289999999999317e+00
-1.438286231334527931e+00,-1.211260000000000048e+01,-1.016849999999999987e+01,-8.326579999999999870e+00,-7.014670000000000627e+00,-6.597269999999999968e+00,-7.127299999999999969e+00,-8.474149999999999849e+00
-1.425360822867683508e+00,-4.194460000000000299e+00,-6.389190000000000147e+00,-7.190479999999999983e+00,-7.429690000000000794e+00,-7.868250000000000632e+00,-8.815039999999999765e+00,-1.030200000000000138e+01
-1.412449020093962559e+00,3.208040000000000003e+00,-2.870740000000000069e+00,-6.018349999999999866e+00,-7.703609999999999403e+00,-9.006780000000000896e+00,-1.041370000000000040e+01,-1.208309999999999995e+01
-1.399537217320240723e+00,8.046240000000000947e+00,-5.447140000000000315e-01,-5.244979999999999976e+00,-8.051919999999999078e+00,-1.011890000000000001e+01,-1.196969999999999956e+01,-1.383050000000000068e+01
-1.386611808853396521e+00,8.645629999999998816e+00,3.146720000000000073e-02,-5.128109999999999502e+00,-8.624419999999998865e+00,-1.129069999999999929e+01,-1.352519999999999989e+01,-1.555779999999999852e+01
-1.373700006079675351e+00,4.780510000000000481e+00,-1.071180000000000021e+00,-5.696269999999999278e+00,-9.488709999999999312e+00,-1.257890000000000086e+01,-1.511289999999999978e+01,-1.727609999999999957e+01
-1.360774597612830927e+00,-1.399929999999999897e+00,-3.140269999999999673e+00,-6.783489999999999576e+00,-1.064219999999999899e+01,-1.401149999999999984e+01,-1.675229999999999819e+01,-1.899060000000000059e+01
-1.347862794839109979e+00,-6.360990000000000144e+00,-5.212979999999999947e+00,-8.149840000000001083e+00,-1.204550000000000054e+01,-1.559460000000000157e+01,-1.845049999999999812e+01,-2.069960000000000022e+01
-1.334937386372265555e+00,-7.884729999999999350e+00,-6.658629999999999605e+00,-9.624189999999998690e+00,-1.366000000000000014e+01,-1.732130000000000081e+01,-2.020240000000000080e+01,-2.239359999999999928e+01
-1.322025583598543941e+00,-6.443100000000000271e+00,-7.492600000000000371e+00,-1.118319999999999936e+01,-1.546879999999999988e+01,-1.917729999999999890e+01,-2.199220000000000041e+01,-2.405509999999999948e+01
-1.309113780824822992e+00,-4.207579999999999210e+00,-8.224660000000000082e+00,-1.292759999999999998e+01,-1.747439999999999927e+01,-2.114079999999999870e+01,-2.379330000000000211e+01,-2.565830000000000055e+01
-1.296188372357978569e+00,-3.300060000000000215e+00,-9.444350000000000023e+00,-1.498889999999999922e+01,-1.967729999999999890e+01,-2.317790000000000106e+01,-2.556739999999999924e+01,-2.716999999999999815e+01
-1.283276569584257398e+00,-4.528369999999999784e+00,-1.146579999999999977e+01,-1.743779999999999930e+01,-2.205239999999999867e+01,-2.523699999999999832e+01,-2.726449999999999818e+01,-2.855010000000000048e+01
-1.270351161117413197e+00,-7.218119999999999870e+00,-1.424569999999999936e+01,-2.024609999999999843e+01,-2.453450000000000131e+01,-2.724530000000000030e+01,-2.882319999999999993e+01,-2.975339999999999918e+01
-1.257439358343691360e+00,-1.030090000000000039e+01,-1.757179999999999964e+01,-2.330320000000000036e+01,-2.701589999999999847e+01,-2.910940000000000083e+01,-3.017340000000000089e+01,-3.073200000000000287e+01
-1.244527555569970412e+00,-1.357760000000000034e+01,-2.128770000000000095e+01,-2.644650000000000034e+01,-2.935169999999999746e+01,-3.071989999999999554e+01,-3.124050000000000082e+01,-3.143850000000000122e+01
-1.231602147103125988e+00,-1.776919999999999789e+01,-2.530100000000000193e+01,-2.946320000000000050e+01,-3.136840000000000117e+01,-3.195939999999999870e+01,-3.195139999999999958e+01,-3.183009999999999806e+01
-1.218690344329405040e+00,-2.342469999999999786e+01,-2.935859999999999914e+01,-3.207150000000000034e+01,-3.287640000000000384e+01,-3.271419999999999817e+01,-3.224159999999999826e+01,-3.187249999999999517e+01
-1.205764935862560616e+00,-2.972560000000000002e+01,-3.285949999999999704e+01,-3.393229999999999791e+01,-3.369369999999999976e+01,-3.288820000000000476e+01,-3.206210000000000093e+01,-3.154370000000000118e+01
-1.192853133088838780e+00,-3.437669999999999959e+01,-3.500070000000000192e+01,-3.472729999999999961e+01,-3.367849999999999966e+01,-3.241639999999999588e+01,-3.138599999999999923e+01,-3.083700000000000330e+01
-1.179927724621995244e+00,-3.531929999999999836e+01,-3.522520000000000095e+01,-3.426919999999999789e+01,-3.275999999999999801e+01,-3.127490000000000236e+01,-3.021189999999999998e+01,-2.976229999999999976e+01
-1.167015921848273408e+00,-3.264190000000000680e+01,-3.355649999999999977e+01,-3.256519999999999726e+01,-3.095159999999999556e+01,-2.948410000000000153e+01,-2.856450000000000244e+01,-2.834639999999999915e+01
-1.154104119074552459e+00,-2.831680000000000064e+01,-3.049910000000000210e+01,-2.978589999999999804e+01,-2.833910000000000196e+01,-2.710369999999999990e+01,-2.649289999999999878e+01,-2.663219999999999743e+01
-1.141178710607708036e+00,-2.431850000000000023e+01,-2.664349999999999952e+01,-2.617060000000000031e+01,-2.505359999999999943e+01,-2.422290000000000276e+01,-2.406599999999999895e+01,-2.467609999999999815e+01
-1.128266907833986199e+00,-2.116689999999999827e+01,-2.233399999999999963e+01,-2.193759999999999977e+01,-2.124249999999999972e+01,-2.094919999999999760e+01,-2.136739999999999995e+01,-2.254589999999999961e+01
-1.115341499367142664e+00,-1.795909999999999940e+01,-1.761129999999999995e+01,-1.724809999999999732e+01,-1.705130000000000123e+01,-1.739989999999999881e+01,-1.849140000000000228e+01,-2.031769999999999854e+01
-1.102429696593420827e+00,-1.353840000000000110e+01,-1.238529999999999909e+01,-1.222439999999999927e+01,-1.262030000000000030e+01,-1.369730000000000025e+01,-1.553919999999999924e+01,-1.807420000000000115e+01
-1.089504288126576625e+00,-7.510720000000000063e+00,-6.653260000000000396e+00,-6.993039999999999701e+00,-8.089959999999999596e+00,-9.966700000000001225e+00,-1.261660000000000004e+01,-1.590180000000000149e+01
-1.076592485352855455e+00,-3.290609999999999924e-01,-6.110220000000000651e-01,-1.718160000000000132e+00,-3.607839999999999936e+00,-6.337180000000000035e+00,-9.832390000000000185e+00,-1.388949999999999996e+01
-1.063680682579133840e+00,7.093710000000000626e+00,5.368259999999999366e+00,3.393790000000000084e+00,6.691510000000000513e-01,-2.940749999999999975e+00,-7.297150000000000247e+00,-1.212629999999999875e+01
-1.050755274112290083e+00,1.364040000000000141e+01,1.083610000000000007e+01,8.115130000000000621e+00,4.578430000000000000e+00,8.888730000000000242e-02,-5.121109999999999829e+00,-1.069950000000000045e+01
-1.037843471338568468e+00,1.828010000000000090e+01,1.540230000000000032e+01,1.223120000000000118e+01,7.959840000000000693e+00,2.619419999999999860e+00,-3.411779999999999813e+00,-9.692130000000000578e+00
-1.024918062871724045e+00,2.061689999999999756e+01,1.885259999999999891e+01,1.557049999999999912e+01,1.066420000000000101e+01,4.523859999999999992e+00,-2.270589999999999886e+00,-9.179549999999998988e+00
-1.012006260098002874e+00,2.118219999999999814e+01,2.118609999999999971e+01,1.801759999999999806e+01,1.255960000000000143e+01,5.684989999999999988e+00,-1.788869999999999960e+00,-9.226010000000000488e+00
-9.990944573242812599e-01,2.097109999999999985e+01,2.254870000000000019e+01,1.950489999999999924e+01,1.353319999999999901e+01,5.999909999999999854e+00,-2.042950000000000266e+00,-9.880449999999999733e+00
-9.861690488574376134e-01,2.074480000000000146e+01,2.311359999999999815e+01,1.999010000000000176e+01,1.349080000000000013e+01,5.384850000000000136e+00,-3.088779999999999859e+00,-1.117220000000000013e+01
-9.732572460837158879e-01,2.078539999999999921e+01,2.298580000000000112e+01,1.943080000000000140e+01,1.235550000000000104e+01,3.780610000000000248e+00,-4.956180000000000696e+00,-1.310659999999999847e+01
