mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-1.493636841297717455e+00,-1.343030000000000079e+01,-2.070979999999999777e+01,-2.922540000000000049e+01,-3.778990000000000293e+01,-4.544569999999999510e+01,-5.187810000000000343e+01,-5.715599999999999881e+01
-1.480725038523996506e+00,-8.033389999999998921e+00,-1.580509999999999948e+01,-2.510429999999999851e+01,-3.408190000000000452e+01,-4.182379999999999853e+01,-4.820299999999999585e+01,-5.342179999999999751e+01
-1.467813235750274670e+00,-4.238490000000000535e+00,-1.251810000000000045e+01,-2.233549999999999969e+01,-3.137679999999999936e+01,-3.891140000000000043e+01,-4.503600000000000136e+01,-5.006730000000000302e+01
-1.454901432976553721e+00,-1.642290000000000028e+00,-1.083059999999999867e+01,-2.090009999999999835e+01,-2.961609999999999943e+01,-3.664290000000000447e+01,-4.232359999999999900e+01,-4.705539999999999878e+01
-1.442003235895955360e+00,-3.174609999999999932e-01,-1.080059999999999931e+01,-2.072830000000000084e+01,-2.868169999999999931e+01,-3.491379999999999484e+01,-3.999179999999999779e+01,-4.433870000000000289e+01
-1.429091433122234411e+00,-9.662389999999999590e-01,-1.254170000000000051e+01,-2.166690000000000182e+01,-2.838850000000000051e+01,-3.358440000000000225e+01,-3.795020000000000238e+01,-4.186299999999999955e+01
-1.416179630348512575e+00,-4.709280000000000577e+00,-1.603699999999999903e+01,-2.342309999999999803e+01,-2.848320000000000007e+01,-3.248870000000000147e+01,-3.610019999999999385e+01,-3.957189999999999941e+01
-1.403267827574791626e+00,-1.218109999999999893e+01,-2.082910000000000039e+01,-2.552380000000000138e+01,-2.865830000000000055e+01,-3.144969999999999644e+01,-3.434420000000000073e+01,-3.741210000000000235e+01
-1.390356024801069790e+00,-2.211360000000000170e+01,-2.583469999999999800e+01,-2.735069999999999979e+01,-2.859049999999999869e+01,-3.030150000000000077e+01,-3.259680000000000177e+01,-3.533920000000000528e+01
-1.377444222027348841e+00,-3.109140000000000015e+01,-2.959700000000000131e+01,-2.827700000000000102e+01,-2.799830000000000041e+01,-2.891319999999999979e+01,-3.079560000000000031e+01,-3.332239999999999469e+01
-1.364532419253627893e+00,-3.564470000000000027e+01,-3.091939999999999955e+01,-2.785030000000000072e+01,-2.669910000000000139e+01,-2.720960000000000178e+01,-2.890950000000000131e+01,-3.134779999999999944e+01
-1.351620616479906056e+00,-3.463009999999999877e+01,-2.937570000000000192e+01,-2.591600000000000037e+01,-2.464539999999999864e+01,-2.518299999999999983e+01,-2.694259999999999877e+01,-2.942010000000000147e+01
-1.338708813706185108e+00,-2.922160000000000224e+01,-2.531469999999999843e+01,-2.262129999999999797e+01,-2.192569999999999908e+01,-2.289400000000000190e+01,-2.493399999999999750e+01,-2.756099999999999994e+01
-1.325797010932463271e+00,-2.133920000000000172e+01,-1.950559999999999761e+01,-1.832650000000000290e+01,-1.873999999999999844e+01,-2.046130000000000138e+01,-2.295199999999999818e+01,-2.580610000000000070e+01
-1.312885208158742323e+00,-1.256749999999999901e+01,-1.278480000000000061e+01,-1.349559999999999960e+01,-1.536130000000000173e+01,-1.804530000000000101e+01,-2.108569999999999922e+01,-2.419969999999999999e+01
-1.299973405385021374e+00,-3.914719999999999533e+00,-5.878400000000000070e+00,-8.617589999999999861e+00,-1.209960000000000058e+01,-1.582859999999999978e+01,-1.943260000000000076e+01,-2.278730000000000189e+01
-1.287061602611299538e+00,4.097859999999999836e+00,6.198270000000000168e-01,-4.170660000000000700e+00,-9.272870000000001056e+00,-1.399500000000000099e+01,-1.808589999999999876e+01,-2.160810000000000031e+01
-1.274149799837578589e+00,1.124830000000000041e+01,6.184199999999999697e+00,-6.147949999999999804e-01,-7.181869999999999976e+00,-1.270819999999999972e+01,-1.712020000000000053e+01,-2.068750000000000000e+01
-1.261237997063856753e+00,1.729240000000000066e+01,1.026410000000000089e+01,1.613149999999999862e+00,-6.082400000000000695e+00,-1.208869999999999933e+01,-1.657770000000000010e+01,-2.002909999999999968e+01
-1.248326194290135804e+00,2.157720000000000127e+01,1.222480000000000011e+01,2.130689999999999973e+00,-6.148179999999999978e+00,-1.219050000000000011e+01,-1.645690000000000097e+01,-1.961110000000000042e+01
-1.235414391516414856e+00,2.285599999999999810e+01,1.140629999999999988e+01,6.884599999999999609e-01,-7.424889999999999546e+00,-1.298090000000000011e+01,-1.670500000000000185e+01,-1.938299999999999912e+01
-1.222502588742693019e+00,1.956880000000000308e+01,7.373230000000000395e+00,-2.708839999999999915e+00,-9.787399999999999878e+00,-1.432969999999999899e+01,-1.721790000000000020e+01,-1.926890000000000214e+01
-1.209590785968972071e+00,1.079720000000000013e+01,3.133519999999999639e-01,-7.692549999999999777e+00,-1.292379999999999995e+01,-1.601569999999999894e+01,-1.784850000000000136e+01,-1.917320000000000135e+01
-1.196678983195250234e+00,-2.288279999999999870e+00,-8.681869999999999976e+00,-1.352389999999999937e+01,-1.636919999999999931e+01,-1.775440000000000040e+01,-1.842379999999999995e+01,-1.899050000000000082e+01
-1.183767180421529286e+00,-1.605660000000000309e+01,-1.783759999999999835e+01,-1.925300000000000011e+01,-1.959190000000000254e+01,-1.924149999999999849e+01,-1.876719999999999899e+01,-1.861719999999999686e+01
-1.170855377647808337e+00,-2.665059999999999718e+01,-2.543380000000000152e+01,-2.398900000000000077e+01,-2.210379999999999967e+01,-2.020270000000000010e+01,-1.872190000000000154e+01,-1.796349999999999980e+01
-1.157943574874086501e+00,-3.260219999999999629e+01,-3.048719999999999786e+01,-2.712959999999999994e+01,-2.355060000000000286e+01,-2.043179999999999907e+01,-1.816880000000000095e+01,-1.696160000000000068e+01
-1.145031772100365552e+00,-3.476389999999999958e+01,-3.285510000000000019e+01,-2.843209999999999837e+01,-2.374899999999999878e+01,-1.980999999999999872e+01,-1.703650000000000020e+01,-1.557199999999999918e+01
-1.132119969326643716e+00,-3.457979999999999876e+01,-3.287870000000000203e+01,-2.793860000000000099e+01,-2.267120000000000246e+01,-1.830409999999999826e+01,-1.530269999999999797e+01,-1.378439999999999976e+01
-1.119221772246045354e+00,-3.293549999999999756e+01,-3.100010000000000332e+01,-2.584680000000000177e+01,-2.039959999999999951e+01,-1.595019999999999882e+01,-1.298830000000000062e+01,-1.161660000000000004e+01
-1.106309969472324406e+00,-3.005609999999999715e+01,-2.758790000000000120e+01,-2.240570000000000306e+01,-1.707740000000000080e+01,-1.283259999999999934e+01,-1.014890000000000114e+01,-9.110810000000000741e+00
-1.093398166698603458e+00,-2.592839999999999989e+01,-2.292839999999999989e+01,-1.785800000000000054e+01,-1.287080000000000091e+01,-9.063869999999999649e+00,-6.865219999999999878e+00,-6.328809999999999825e+00
-1.080486363924881621e+00,-2.066779999999999973e+01,-1.725789999999999935e+01,-1.241760000000000019e+01,-7.947569999999999801e+00,-4.771519999999999762e+00,-3.235700000000000021e+00,-3.348250000000000171e+00
-1.067574561151160673e+00,-1.452679999999999971e+01,-1.076780000000000115e+01,-6.264829999999999899e+00,-2.467649999999999899e+00,-9.034509999999999763e-02,6.289479999999999515e-01,-2.590850000000000097e-01
-1.054662758377438836e+00,-7.686410000000000409e+00,-3.592899999999999761e+00,4.473739999999999939e-01,3.414849999999999941e+00,4.839239999999999320e+00,4.608070000000000555e+00,2.838870000000000005e+00
-1.041750955603717887e+00,-1.435579999999999912e-01,4.178659999999999819e+00,7.577429999999999666e+00,9.543939999999999202e+00,9.869049999999999656e+00,8.571880000000000166e+00,5.837749999999999773e+00
-1.028839152829996939e+00,8.212180000000000035e+00,1.246140000000000114e+01,1.497129999999999939e+01,1.575019999999999953e+01,1.483900000000000041e+01,1.238129999999999953e+01,8.623210000000000264e+00
-1.015927350056275102e+00,1.743459999999999965e+01,2.111009999999999920e+01,2.243599999999999994e+01,2.183859999999999957e+01,1.957300000000000040e+01,1.588810000000000144e+01,1.107639999999999958e+01
-1.003015547282554154e+00,2.733259999999999934e+01,2.986469999999999914e+01,2.971640000000000015e+01,2.757939999999999969e+01,2.387729999999999819e+01,1.893660000000000210e+01,1.307659999999999911e+01
-9.901037445088323175e-01,3.733709999999999951e+01,3.832000000000000028e+01,3.648260000000000502e+01,3.270469999999999544e+01,2.754229999999999734e+01,2.136769999999999925e+01,1.450570000000000093e+01
-9.771919417351113690e-01,4.655579999999999785e+01,4.593040000000000589e+01,4.233070000000000022e+01,3.691510000000000247e+01,3.035119999999999862e+01,2.302619999999999933e+01,1.525309999999999988e+01
-9.642801389613903096e-01,5.401089999999999947e+01,5.204659999999999798e+01,4.680380000000000251e+01,3.989959999999999951e+01,3.209599999999999653e+01,2.377090000000000103e+01,1.522240000000000038e+01
-9.513683361876685840e-01,5.884229999999999450e+01,5.597400000000000375e+01,4.943909999999999627e+01,4.137160000000000082e+01,3.259869999999999379e+01,2.348690000000000211e+01,1.433779999999999966e+01
-9.384565334139476356e-01,6.031170000000000186e+01,5.706640000000000157e+01,4.984959999999999525e+01,4.111880000000000024e+01,3.173669999999999547e+01,2.209619999999999962e+01,1.255020000000000024e+01
