temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
300,n,9.993484066789919e+20,-9.993484066789919e+20,0.547164,-24.5692,1.7555e+19,120487000000000.0,10596998308.5752,0.02638541496238233,-8.28979e-09,82.7862,1.61695,2.74309e-12
400,n,1.0005557914823051e+21,-1.0005557914823051e+21,0.546667,-28.7308,1.70972e+19,147277000000000.0,14113035368.911808,0.038330588941686235,-8.74669e-09,73.3125,2.12362,2.42918e-12
500,n,9.996680085386925e+20,-9.996680085386925e+20,0.546052,-32.9542,1.64979e+19,166857000000000.0,17916377854.53495,0.053687822070799994,-9.37903e-09,66.2578,2.64341,2.19543e-12
600,n,9.998500040421331e+20,-9.998500040421331e+20,0.545358,-37.528299999999994,1.58376e+19,180121000000000.0,22305252990.17546,0.07430089658676821,-1.0112e-08,60.8193,3.14651,2.01522e-12
700,n,9.996213999341529e+20,-9.996213999341529e+20,0.544588,-42.4964,1.51413e+19,187593000000000.0,27344340083.43125,0.10203492698769077,-1.0929e-08,56.374,3.61022,1.86793e-12
800,n,1.00033828466112e+21,-1.00033828466112e+21,0.543763,-47.728500000000004,1.44399e+19,190061000000000.0,32894232443.918777,0.13845757917266047,-1.1795e-08,52.6656,4.02324,1.74505e-12
900,n,9.999498796232895e+20,-9.999498796232895e+20,0.542877,-53.1712,1.37342e+19,188361000000000.0,38829007615.95084,0.1855272952169279,-1.2719e-08,49.4111,4.38274,1.63722e-12
300,n,5.00203543919625e+20,-5.00203543919625e+20,0.543433,-24.3987,1.30413e+19,100910000000000.0,7763441049.967798,0.023080292488260226,-1.51666e-08,38.5662,1.49993,1.27787e-12
400,n,5.0017247151659857e+20,-5.0017247151659857e+20,0.542484,-33.7946,1.26544e+19,125196000000000.0,14452273742.826307,0.046174873774965035,-1.61714e-08,35.9362,1.93602,1.19073e-12
500,n,4.998639669436932e+20,-4.998639669436932e+20,0.54147,-42.8542,1.21717e+19,141929000000000.0,22353113529.656788,0.07874751999118147,-1.73527e-08,33.6562,2.36834,1.11519e-12
600,n,4.9991723392031e+20,-4.9991723392031e+20,0.5404,-51.9219,1.16221e+19,151710000000000.0,31331829945.23738,0.12391469228885657,-1.86817e-08,31.6913,2.79028,1.05008e-12
700,n,5.001524964003673e+20,-5.001524964003673e+20,0.539275,-61.0852,1.10264e+19,155587000000000.0,41143927253.238655,0.18511025392395933,-2.01486e-08,29.9453,3.19133,9.92225e-13
800,n,5.001635936871624e+20,-5.001635936871624e+20,0.538092,-70.31209999999999,1.04029e+19,154721000000000.0,51429767621.74258,0.26592262263942235,-2.17522e-08,28.3414,3.56279,9.39082e-13
900,n,4.999838176410809e+20,-4.999838176410809e+20,0.536854,-79.5041,9.77177e+18,150314000000000.0,61766399723.62645,0.36982423294745537,-2.34783e-08,26.8514,3.90139,8.89709e-13
300,n,1.9995202320381847e+20,-1.9995202320381847e+20,0.536606,-30.6995,8.66714e+18,62608200000000.0,8168426699.568784,0.03914068779921217,-3.28001e-08,10.3995,0.489564,3.44584e-13
400,n,1.999688910797471e+20,-1.999688910797471e+20,0.535855,-44.2414,8.32785e+18,80053200000000.0,16300113079.917784,0.08144640354123399,-3.44156e-08,11.1531,0.856272,3.69554e-13
