run_id,wall_seconds,ntasks,nk,status
00002,2242,32,2,ok
00003,2643,32,2,ok
00004,2594,32,2,ok
00005,2563,32,2,ok
00006,2376,32,2,ok
00007,2544,32,2,ok
00008,2589,32,2,ok
00009,2493,32,2,ok
00010,2482,32,2,ok
00011,2342,32,2,ok
00012,2441,32,2,ok
00013,2259,32,2,ok
00014,2433,32,2,ok
00015,2145,32,2,ok
00016,2569,32,2,ok
00017,2636,32,2,ok
00018,2649,32,2,ok
00019,2447,32,2,ok
00020,2337,32,2,ok
00021,2497,32,2,ok
00022,2605,32,2,ok
00023,2255,32,2,ok
00024,2313,32,2,ok
00025,2227,32,2,ok
00026,4572,32,2,ok
00027,2185,32,2,ok
00028,2176,32,2,ok
00029,1980,32,2,ok
00030,2511,32,2,ok
00601,3991,32,2,ok
00602,2500,32,2,ok
00603,2627,32,2,ok
00604,2383,32,2,ok
00605,2423,32,2,ok
00606,2074,32,2,ok
01177,2340,32,2,ok
01178,2003,32,2,ok
01179,2074,32,2,ok
01180,2182,32,2,ok
01181,2175,32,2,ok
01182,3856,32,2,ok
01825,1971,32,2,ok
01826,4368,32,2,ok
01827,2282,32,2,ok
01828,2171,32,2,ok
01829,2154,32,2,ok
01830,2408,32,2,ok
02401,4395,32,2,ok
02402,2331,32,2,ok
02403,2371,32,2,ok
02404,2405,32,2,ok
02405,2218,32,2,ok
02406,2392,32,2,ok
02977,2225,32,2,ok
02978,2351,32,2,ok
02979,2319,32,2,ok
02980,4273,32,2,ok
02981,2398,32,2,ok
02982,2395,32,2,ok
03553,2146,32,2,ok
03554,2325,32,2,ok
03555,4541,32,2,ok
03556,2395,32,2,ok
03557,2218,32,2,ok
03558,2450,32,2,ok
04129,2159,32,2,ok
04130,2385,32,2,ok
04131,2297,32,2,ok
04132,2368,32,2,ok
04133,2207,32,2,ok
04134,4508,32,2,ok
04705,2215,32,1,ok_retry
04706,2246,32,2,ok
04707,2219,32,2,ok
04708,2462,32,2,ok
04709,4112,32,2,ok
04710,2347,32,2,ok
05425,2758,32,2,ok
05426,4401,32,2,ok
05427,2091,32,2,ok
05428,2442,32,2,ok
05429,2522,32,2,ok
05430,2378,32,2,ok
06001,4463,32,2,ok
06002,2335,32,2,ok
06003,2413,32,2,ok
06004,2156,32,2,ok
06005,2317,32,2,ok
06006,2584,32,2,ok
06577,2571,32,2,ok
06578,2077,32,2,ok
06579,2382,32,2,ok
06580,3117,32,2,ok
06581,2164,32,2,ok
06582,4217,32,2,ok
07225,2603,32,2,ok
07226,4103,32,2,ok
07227,2077,32,2,ok
07228,2661,32,2,ok
07229,2534,32,2,ok
07230,2045,32,2,ok
07801,4154,32,2,ok
07802,2181,32,2,ok
07803,2115,32,2,ok
07804,2366,32,2,ok
07805,2213,32,2,ok
07806,2310,32,2,ok
08377,1913,32,2,ok
08378,2077,32,2,ok
08379,2384,32,2,ok
08380,4409,32,2,ok
08381,2654,32,2,ok
08382,2016,32,2,ok
08953,2512,32,2,ok
08954,2258,32,2,ok
08955,4249,32,2,ok
08956,2234,32,2,ok
08957,2065,32,2,ok
08958,2120,32,2,ok
09529,2422,32,2,ok
09530,2128,32,2,ok
09531,2567,32,2,ok
09532,2224,32,2,ok
09533,2603,32,2,ok
09534,4521,32,2,ok
10105,2147,32,2,ok
10106,2342,32,2,ok
10107,2073,32,2,ok
10108,2601,32,2,ok
10109,4382,32,2,ok
10110,2277,32,2,ok
10825,2295,32,2,ok
10826,4505,32,2,ok
10827,2110,32,2,ok
10828,2360,32,2,ok
10829,2319,32,2,ok
10830,2356,32,2,ok
11401,5623,32,2,ok
11402,2254,32,2,ok
11403,2134,32,2,ok
11404,2072,32,2,ok
11405,2150,32,2,ok
11406,2354,32,2,ok
11977,2191,32,2,ok
11978,2117,32,2,ok
11979,2244,32,2,ok
11980,5589,32,2,ok
11981,2365,32,2,ok
11982,2268,32,2,ok
12553,2153,32,2,ok
12554,1952,32,2,ok
12555,3980,32,2,ok
12556,2214,32,2,ok
12557,2041,32,2,ok
12558,2012,32,2,ok
13129,2212,32,2,ok
13130,2069,32,2,ok
13131,2210,32,2,ok
13132,2136,32,2,ok
13133,2344,32,2,ok
13134,4831,32,2,ok
13705,2382,32,2,ok
13706,2322,32,2,ok
13707,2343,32,2,ok
13708,2359,32,2,ok
13709,4294,32,2,ok
13710,2806,32,2,ok
