E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-6.000000000000000000e+00,1.560671199092939420e-04,3.553260611776480338e-01,1.985096833224320456e-01
-5.980000000000000426e+00,8.501080637545401940e-04,3.553260611776480338e-01,2.384380885233839398e-01
-5.960000000000000853e+00,3.974534650293539556e-03,3.553260611776480338e-01,2.735075319945113326e-01
-5.940000000000001279e+00,1.598452442581713845e-02,3.553260611776480338e-01,3.017567907685436146e-01
-5.920000000000001705e+00,5.541834769859295406e-02,3.553260611776480338e-01,3.226265055189534436e-01
-5.900000000000002132e+00,1.660945504205116885e-01,3.553260611776480338e-01,3.367667605531373676e-01
-5.880000000000002558e+00,4.316911184120404976e-01,3.553260611776480338e-01,3.455905600764790364e-01
-5.860000000000002984e+00,9.766705209966204393e-01,3.553260611776480338e-01,3.508707173104713695e-01
-5.840000000000003411e+00,1.933230438443749755e+00,3.553260611776480338e-01,3.544664498180291057e-01
-5.820000000000003837e+00,3.370132884872664825e+00,3.553260611776480338e-01,3.586043075334263142e-01
-5.800000000000004263e+00,5.216156623448772400e+00,3.553260611776480338e-01,3.668165956259951677e-01
-5.780000000000004690e+00,7.234810817104449399e+00,3.553260611776480338e-01,3.858160345636802990e-01
-5.760000000000005116e+00,9.077455208408428788e+00,3.553260611776480338e-01,4.284221202359117520e-01
-5.740000000000005542e+00,1.038773005479210276e+01,3.553260611776480338e-01,5.169422664443408255e-01
-5.720000000000005969e+00,1.091738322537713479e+01,3.553260611776480338e-01,6.864428058695491996e-01
-5.700000000000006395e+00,1.063144774955587124e+01,3.553260611776480338e-01,9.850856508311720550e-01
-5.680000000000006821e+00,9.773255753215849495e+00,3.553260611776480338e-01,1.469123837420805323e+00
-5.660000000000007248e+00,8.814821428349100430e+00,3.553260611776480338e-01,2.190772911929448341e+00
-5.640000000000007674e+00,8.268859614684904713e+00,3.553260611776480338e-01,3.180222675266588084e+00
-5.620000000000008100e+00,8.460519476819369444e+00,3.553260611776480338e-01,4.427619054627506934e+00
-5.600000000000008527e+00,9.400431469832108533e+00,1.871843108277777334e+00,5.873197864683005420e+00
-5.580000000000008953e+00,1.083098320874082710e+01,8.157211204714371888e+00,7.412092399188727754e+00
-5.560000000000009379e+00,1.237317933895372590e+01,1.364137151276966620e+01,8.914218843042723606e+00
-5.540000000000009805e+00,1.368369289152670909e+01,1.562977604773432638e+01,1.025229420009501347e+01
-5.520000000000010232e+00,1.456943999334545303e+01,1.344657688736144863e+01,1.132620108569634176e+01
-5.500000000000010658e+00,1.498953290150850037e+01,1.111651888438773206e+01,1.207594526943317170e+01
-5.480000000000011084e+00,1.499308387311437940e+01,1.475948843855812953e+01,1.248143874206761872e+01
-5.460000000000011511e+00,1.468009290816308088e+01,1.431502620476581455e+01,1.255621810882126432e+01
-5.440000000000011937e+00,1.413752258762176162e+01,1.559401253762039907e+01,1.234084832072468174e+01
