temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
300,n,1.0003880641568595e+21,-1.0003880641568595e+21,0.606061,-20.522399999999998,2.30932e+19,143317000000000.0,9726137682.124031,0.020359352377158392,-7.93715e-09,84.3677,1.94278,2.30471e-12
400,n,9.996817602004129e+20,-9.996817602004129e+20,0.605321,-23.224899999999998,2.17203e+19,173101000000000.0,11715842504.6112,0.027072847654516615,-8.79986e-09,81.1939,2.65715,2.218e-12
500,n,1.0004905331246342e+21,-1.0004905331246342e+21,0.604456,-24.575,2.05043e+19,197273000000000.0,12383174714.187502,0.0313858833043232,-9.80219e-09,77.2596,3.27427,2.11053e-12
600,n,9.995811210356343e+20,-9.995811210356343e+20,0.60348,-25.6437,1.94145e+19,216669000000000.0,12766962574.556505,0.035354284852627295,-1.09537e-08,72.8241,3.7981,1.98936e-12
700,n,9.997384840932882e+20,-9.997384840932882e+20,0.602437,-26.8329,1.84394e+19,231408000000000.0,13276451390.526953,0.040160737629506615,-1.22232e-08,68.508,4.24668,1.87146e-12
800,n,9.999489114378254e+20,-9.999489114378254e+20,0.601338,-28.3866,1.75487e+19,241608000000000.0,14140725956.500572,0.04682204548359515,-1.36043e-08,64.4357,4.62904,1.76022e-12
900,n,1.0009058984047207e+21,-1.0009058984047207e+21,0.600201,-30.3615,1.67249e+19,247515000000000.0,15417358728.563026,0.05605972509022372,-1.50761e-08,60.7249,4.95478,1.65885e-12
300,n,4.99951583181463e+20,-4.99951583181463e+20,0.601319,-27.4771,1.76199e+19,135717000000000.0,13302866351.00176,0.029405748029359094,-1.44742e-08,36.4518,1.00348,9.95768e-13
400,n,5.00026605104298e+20,-5.00026605104298e+20,0.600423,-30.8009,1.72416e+19,170907000000000.0,16357027312.269693,0.03828287270215893,-1.52394e-08,35.4151,1.56572,9.67449e-13
500,n,4.997503048519057e+20,-4.997503048519057e+20,0.599334,-33.348600000000005,1.66878e+19,198438000000000.0,18558988361.444088,0.04676268749293001,-1.6482e-08,34.3401,2.13152,9.38082e-13
600,n,4.9990034869757575e+20,-4.9990034869757575e+20,0.598111,-35.9046,1.60531e+19,218764000000000.0,20694698168.551598,0.0567589681169249,-1.80538e-08,33.2234,2.65436,9.07578e-13
700,n,5.002223940248674e+20,-5.002223940248674e+20,0.596788,-38.844,1.53758e+19,232440000000000.0,23199873251.0688,0.06986711097809396,-1.98788e-08,32.051,3.11893,8.7555e-13
800,n,5.0004124352826586e+20,-5.0004124352826586e+20,0.595381,-42.367599999999996,1.46713e+19,240033000000000.0,26335181999.167885,0.08777187136491361,-2.19308e-08,30.8109,3.52255,8.41674e-13
900,n,5.001071164361209e+20,-5.001071164361209e+20,0.593919,-46.5108,1.3957e+19,242400000000000.0,30192543288.74448,0.1121010270621701,-2.41681e-08,29.593,3.87377,8.08403e-13
300,n,2.0002308470209184e+20,-2.0002308470209184e+20,0.591774,-16.3842,1.25481e+19,95047500000000.0,3368437181.163685,0.010631854118720698,-3.33697e-08,8.057,0.214907,2.20096e-13
400,n,1.9996270120322466e+20,-1.9996270120322466e+20,0.591215,-22.8175,1.24789e+19,123961000000000.0,6496993359.863124,0.02096463681274957,-3.37723e-08,8.60023,0.405927,2.34936e-13
500,n,2.000413827320516e+20,-2.000413827320516e+20,0.590398,-30.5359,1.224e+19,149215000000000.0,11413080151.0344,0.038243742757210736,-3.49218e-08,9.21452,0.682629,2.51717e-13
600,n,1.999572117942367e+20,-1.999572117942367e+20,0.589316,-38.7189,1.18554e+19,168241000000000.0,17773061051.311436,0.0633842917647117,-3.68071e-08,9.76736,1.01215,2.66819e-13
700,n,2.0005419135302343e+20,-2.0005419135302343e+20,0.588033,-47.1214,1.13562e+19,180545000000000.0,25215605579.14135,0.097764678641884,-3.9358e-08,10.2031,1.36035,2.78723e-13
800,n,1.999425733702689e+20,-1.999425733702689e+20,0.586569,-55.7365,1.07646e+19,186516000000000.0,33440848135.198345,0.14343369205944087,-4.26116e-08,10.4725,1.69914,2.8608e-13
900,n,1.9993159455229306e+20,-1.9993159455229306e+20,0.584978,-64.5411,1.01203e+19,187359000000000.0,42156651988.88196,0.2025042127145948,-4.64982e-08,10.6032,2.01897,2.89653e-13
300,n,9.997165264573365e+19,-9.997165264573365e+19,0.582538,-26.968400000000003,9.21505e+18,61572700000000.0,6702056090.460328,0.03265435537402288,-6.24314e-08,4.42438,0.0814151,1.20863e-13
400,n,9.998098464101314e+19,-9.998098464101314e+19,0.582247,-36.3329,8.95597e+18,80730800000000.0,11822593495.915287,0.058577858739986666,-6.37561e-08,4.41555,0.129672,1.20621e-13
500,n,1.0002032540542661e+20,-1.0002032540542661e+20,0.581809,-44.883399999999995,8.71663e+18,98293500000000.0,17559821942.246162,0.08932341376716753,-6.52999e-08,4.48061,0.216952,1.22399e-13
600,n,1.0000202737546684e+20,-1.0000202737546684e+20,0.581154,-53.8911,8.43457e+18,113105000000000.0,24496105482.65289,0.1299470694451327,-6.75071e-08,4.61893,0.359548,1.26177e-13
700,n,9.991712451645356e+19,-9.991712451645356e+19,0.580239,-63.6211,8.07907e+18,123893000000000.0,32701202161.637157,0.1847629931727056,-7.07712e-08,4.80336,0.554359,1.31215e-13
800,n,1.0002197222812298e+20,-1.0002197222812298e+20,0.579084,-73.959,7.65715e+18,130230000000000.0,41884102685.469154,0.2572931133254651,-7.51773e-08,5.00166,0.7865,1.36632e-13
900,n,9.997695907442198e+19,-9.997695907442198e+19,0.577678,-84.8718,7.16759e+18,132294000000000.0,51629745094.60187,0.3512386849376516,-8.10493e-08,5.1623,1.03668,1.4102e-13
300,n,4.998564334256723e+19,-4.998564334256723e+19,0.574667,-28.2749,5.72513e+18,40242900000000.0,4577069509.403351,0.03412082262513401,-1.26809e-07,2.76438,0.0485216,7.55157e-14
400,n,4.999589023934469e+19,-4.999589023934469e+19,0.574401,-45.937,5.62224e+18,51924900000000.0,11864095651.630558,0.09139426865823956,-1.28241e-07,2.73132,0.0691441,7.46126e-14
500,n,5.000137964833262e+19,-5.000137964833262e+19,0.574008,-60.7824,5.50357e+18,61946800000000.0,20332940189.214645,0.164116146348275,-1.29805e-07,2.70588,0.099758,7.39176e-14
600,n,4.998820506676159e+19,-4.998820506676159e+19,0.573467,-74.0303,5.35315e+18,70376800000000.0,29337859980.533485,0.25012100562003514,-1.32224e-07,2.69583,0.15259,7.3643e-14
700,n,5.000339243162819e+19,-5.000339243162819e+19,0.572741,-86.7025,5.15967e+18,77074800000000.0,38786908575.49294,0.3522660584632728,-1.3602e-07,2.7102,0.239988,7.40357e-14
800,n,4.998710718496401e+19,-4.998710718496401e+19,0.571778,-99.3854,4.90957e+18,81795300000000.0,48494070162.99034,0.4742968866229756,-1.41953e-07,2.74666,0.368008,7.50317e-14
900,n,4.999223063335274e+19,-4.999223063335274e+19,0.570577,-112.081,4.61243e+18,85105200000000.0,57942040112.07323,0.6127455913488942,-1.50141e-07,2.80487,0.539337,7.66218e-14
300,n,1.9998648864217235e+19,-1.9998648864217235e+19,0.566906,-54.0214,2.76341e+18,21828100000000.0,8064491618.723243,0.11083637538846591,-3.34717e-07,1.47286,0.0294795,4.02346e-14
400,n,1.999572117942367e+19,-1.999572117942367e+19,0.566527,-76.0599,2.78968e+18,26375400000000.0,16138601167.863733,0.2447523247854248,-3.27105e-07,1.48478,0.039742,4.05602e-14
500,n,2.002682783035526e+19,-2.002682783035526e+19,0.566022,-94.7064,2.74631e+18,30454000000000.0,24632484327.51846,0.4044211651592313,-3.26813e-07,1.46425,0.0530371,3.99994e-14
600,n,1.9993159455229305e+19,-1.9993159455229305e+19,0.565357,-112.011,2.66323e+18,34060500000000.0,33414119640.97083,0.5886135489667649,-3.30825e-07,1.4299,0.0744154,3.90612e-14
700,n,1.9993708396128096e+19,-1.9993708396128096e+19,0.564558,-128.165,2.56479e+18,37579900000000.0,42129925916.007744,0.7847532362035402,-3.36261e-07,1.40168,0.114648,3.82902e-14
800,n,2.000194250960999e+19,-2.000194250960999e+19,0.56362,-142.809,2.4578e+18,41905300000000.0,50125382080.201805,0.9569268246298546,-3.42448e-07,1.39841,0.190242,3.8201e-14
