temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
300,n,5.001346688621778e+19,-5.001346688621778e+19,0.625597,-134.381,2.25954e+18,13687600000000.0,40803345347.405945,0.8943133642290674,-1.24802e-07,6.13013,0.0818366,1.9704e-13
300,p,4.997708077248358e+19,4.997708077248358e+19,0.572264,133.172,2.07228e+18,13031800000000.0,36751433180.89152,0.846040451377972,1.2284e-07,6.52181,0.107534,2.09629e-13
400,n,4.999495087567848e+19,-4.999495087567848e+19,0.624918,-164.162,2.20571e+18,17284000000000.0,59442036653.21324,1.3756546321039862,-1.25703e-07,5.57877,0.116502,1.79317e-13
400,p,1.0003167042629445e+20,1.0003167042629445e+20,0.570115,121.658,3.67793e+18,31339800000000.0,54435824402.76453,0.6947820267233936,6.22058e-08,9.69422,0.218162,3.11599e-13
500,n,1.0001767576716591e+20,-1.0001767576716591e+20,0.627596,-138.672,4.15888e+18,41578800000000.0,79974944595.02592,0.9617274259361251,-6.38015e-08,8.04402,0.207685,2.58557e-13
500,p,9.999528431256025e+20,9.999528431256025e+20,0.55294,67.1473,2.22935e+19,257954000000000.0,100516038770.23465,0.194833262461979,2.97125e-09,37.2056,0.977148,1.19589e-12
600,n,1.0004695690011176e+20,-1.0004695690011176e+20,0.626816,-157.501,4.04615e+18,46824900000000.0,100371082978.79614,1.286124471964226,-6.43858e-08,7.58155,0.260085,2.43692e-13
600,p,9.9999805663971e+20,9.9999805663971e+20,0.553331,83.6604,2.19772e+19,295719000000000.0,153819796993.87793,0.3120931634299005,3.36277e-09,37.5864,1.22336,1.20813e-12
700,n,9.99825814681205e+19,-9.99825814681205e+19,0.625893,-173.762,3.92602e+18,51066400000000.0,118539235224.99686,1.6248935632333157,-6.51999e-08,7.11135,0.316531,2.28579e-13
700,p,1.0001573804513273e+21,1.0001573804513273e+21,0.553812,97.7003,2.15898e+19,326302000000000.0,206082167638.01907,0.44209817085587383,3.67394e-09,37.7351,1.48345,1.21291e-12
800,n,1.9995439781383445e+20,-1.9995439781383445e+20,0.630155,-136.305,7.231e+18,105787000000000.0,134345132423.775,1.0159670464142097,-3.34974e-08,10.9793,0.48004,3.52905e-13
800,p,9.998042844363919e+20,9.998042844363919e+20,0.554387,109.725,2.11268e+19,350269000000000.0,254357706314.25,0.5809425471606109,3.92603e-09,37.6542,1.7578,1.21031e-12
900,n,2.0000068784018267e+20,-2.0000068784018267e+20,0.629295,-146.799,7.02825e+18,111209000000000.0,151458410792.82825,1.2257332564230001,-3.40817e-08,10.4966,0.55406,3.37391e-13
900,p,9.99853803999462e+20,9.99853803999462e+20,0.555043,120.248,2.06134e+19,368916000000000.0,298061137374.55365,0.7271439125359114,4.13119e-09,37.395,2.04883,1.20198e-12
