temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
300,n,1.0002542665529864e+21,-1.0002542665529864e+21,0.649712,-5.37312,2.86873e+19,198113000000000.0,828214357.6218932,0.0012541544839892787,-7.4496e-09,29.4515,0.386491,9.46653e-13
400,n,1.0001509213778832e+21,-1.0001509213778832e+21,0.649626,-7.78328,2.83703e+19,250322000000000.0,1718657101.066076,0.0027463141091331584,-7.46366e-09,29.4851,0.500467,9.47733e-13
500,n,9.998387328280929e+20,-9.998387328280929e+20,0.649494,-10.8375,2.79435e+19,297529000000000.0,3282003370.546876,0.005515434412354554,-7.53336e-09,29.3215,0.606957,9.42477e-13
600,n,1.0000131278110793e+21,-1.0000131278110793e+21,0.649324,-14.6464,2.74874e+19,340470000000000.0,5896515491.784703,0.01039125119708292,-7.63393e-09,29.0385,0.71334,9.33379e-13
700,n,9.998882523911632e+20,-9.998882523911632e+20,0.649104,-19.1746,2.70105e+19,379390000000000.0,9930823184.81418,0.018323034949181385,-7.75952e-09,28.6862,0.827746,9.22055e-13
800,n,1.000101401814813e+21,-1.000101401814813e+21,0.648838,-24.252499999999998,2.65303e+19,414673000000000.0,15604691508.439371,0.030105054360306787,-7.90028e-09,28.3123,0.958806,9.10037e-13
900,n,1.0001121669372197e+21,-1.0001121669372197e+21,0.648514,-29.8062,2.60363e+19,446105000000000.0,23130897786.41137,0.04666571324636628,-8.0549e-09,27.9365,1.11251,8.97957e-13
300,n,5.0014328096010306e+20,-5.0014328096010306e+20,0.641091,-29.7489,1.71772e+19,121880000000000.0,15201771348.04441,0.03741820975068365,-1.28868e-08,22.514,0.281879,7.23665e-13
400,n,4.999667329526353e+20,-4.999667329526353e+20,0.640828,-39.7787,1.7005e+19,154152000000000.0,26907776277.59845,0.06982141335201217,-1.30707e-08,21.9819,0.364083,7.06559e-13
500,n,4.998483166061631e+20,-4.998483166061631e+20,0.640516,-49.0469,1.67754e+19,180864000000000.0,40354875392.8176,0.11156138146015125,-1.32703e-08,21.4463,0.442048,6.89344e-13
600,n,4.999473557323035e+20,-4.999473557323035e+20,0.640156,-57.629,1.65e+19,202981000000000.0,54798177076.5,0.16198021610840424,-1.34911e-08,20.9049,0.518085,6.71943e-13
700,n,5.000377827605187e+20,-5.000377827605187e+20,0.639741,-65.6737,1.61864e+19,221529000000000.0,69812507647.12302,0.22059755315550608,-1.37385e-08,20.3533,0.595733,6.54213e-13
800,n,4.9976865470035454e+20,-4.9976865470035454e+20,0.63926,-73.3463,1.58375e+19,237279000000000.0,85200677623.94038,0.2872590583201729,-1.40199e-08,19.7885,0.679638,6.36056e-13
900,n,4.999150603650838e+20,-4.999150603650838e+20,0.638728,-80.63839999999999,1.54819e+19,251146000000000.0,100671852912.54245,0.36076492407320127,-1.43142e-08,19.2357,0.775328,6.18288e-13
300,n,1.999018640164904e+20,-1.999018640164904e+20,0.633006,-61.4283,8.13857e+18,55245100000000.0,30710373359.30613,0.1667679487916908,-3.17946e-08,12.826,0.173323,4.12263e-13
400,n,1.9996042628238213e+20,-1.9996042628238213e+20,0.632649,-79.40660000000001,7.99073e+18,69762100000000.0,50384813855.17461,0.28889505250085423,-3.19214e-08,12.595,0.23327,4.04838e-13
500,n,2.000695846235847e+20,-2.000695846235847e+20,0.632183,-96.09440000000001,7.82231e+18,81908600000000.0,72232256471.70845,0.4409320661793051,-3.21611e-08,12.2903,0.292053,3.95045e-13
600,n,2.0007066113582537e+20,-2.0007066113582537e+20,0.631608,-111.125,7.63462e+18,91704900000000.0,94278133015.9375,0.6168359576158144,-3.25161e-08,11.9034,0.351282,3.82609e-13
700,n,2.00002840864664e+20,-2.00002840864664e+20,0.630929,-124.478,7.43504e+18,99488000000000.0,115204253209.43936,0.8105799417679272,-3.29687e-08,11.4567,0.41321,3.6825e-13
800,n,1.9995439781383445e+20,-1.9995439781383445e+20,0.630155,-136.305,7.231e+18,105787000000000.0,134345132423.775,1.0159670464142097,-3.34974e-08,10.9793,0.48004,3.52905e-13
900,n,2.0000068784018267e+20,-2.0000068784018267e+20,0.629295,-146.799,7.02825e+18,111209000000000.0,151458410792.82825,1.2257332564230001,-3.40817e-08,10.4966,0.55406,3.37391e-13
300,n,9.998860993666818e+19,-9.998860993666818e+19,0.628705,-91.111,4.36074e+18,28233900000000.0,36199437338.15754,0.3846380132198266,-6.30421e-08,8.8114,0.118913,2.83223e-13
400,n,9.995028610090079e+19,-9.995028610090079e+19,0.628224,-116.75500000000001,4.26252e+18,35342000000000.0,58105521866.163,0.6576370535472016,-6.34073e-08,8.46873,0.160428,2.72209e-13
500,n,1.0001767576716591e+20,-1.0001767576716591e+20,0.627596,-138.672,4.15888e+18,41578800000000.0,79974944595.02592,0.9617274259361251,-6.38015e-08,8.04402,0.207685,2.58557e-13
600,n,1.0004695690011176e+20,-1.0004695690011176e+20,0.626816,-157.501,4.04615e+18,46824900000000.0,100371082978.79614,1.286124471964226,-6.43858e-08,7.58155,0.260085,2.43692e-13
700,n,9.99825814681205e+19,-9.99825814681205e+19,0.625893,-173.762,3.92602e+18,51066400000000.0,118539235224.99686,1.6248935632333157,-6.51999e-08,7.11135,0.316531,2.28579e-13
800,n,9.999506901011212e+19,-9.999506901011212e+19,0.624849,-187.734,3.80784e+18,54647900000000.0,134203721462.08704,1.96463134300988,-6.6119e-08,6.66243,0.376773,2.14149e-13
900,n,1.0003123982139816e+20,-1.0003123982139816e+20,0.623692,-199.735,3.692e+18,58132500000000.0,147288907270.7,2.280308201842859,-6.71389e-08,6.24418,0.441466,2.00706e-13
300,n,5.001346688621778e+19,-5.001346688621778e+19,0.625597,-134.381,2.25954e+18,13687600000000.0,40803345347.405945,0.8943133642290674,-1.24802e-07,6.13013,0.0818366,1.9704e-13
400,n,4.999495087567848e+19,-4.999495087567848e+19,0.624918,-164.162,2.20571e+18,17284000000000.0,59442036653.21324,1.3756546321039862,-1.25703e-07,5.57877,0.116502,1.79317e-13
500,n,4.999021422181959e+19,-4.999021422181959e+19,0.624034,-188.946,2.14641e+18,20543200000000.0,76628105348.01157,1.8650479318706814,-1.26745e-07,5.05657,0.157643,1.62532e-13
600,n,4.999624269036727e+19,-4.999624269036727e+19,0.622967,-209.834,2.08425e+18,23356400000000.0,91770168523.59299,2.35747380221934,-1.27988e-07,4.58841,0.202878,1.47485e-13
700,n,4.9969545186798985e+19,-4.9969545186798985e+19,0.621731,-227.604,2.01933e+18,25727300000000.0,104608524849.1733,2.846235998119558,-1.29575e-07,4.17525,0.250214,1.34204e-13
800,n,4.996222490356252e+19,-4.996222490356252e+19,0.620351,-242.567,1.95566e+18,28032700000000.0,115068588825.65775,3.283838911718322,-1.31308e-07,3.81812,0.299196,1.22725e-13
900,n,5.003435122368651e+19,-5.003435122368651e+19,0.618853,-254.57000000000002,1.89801e+18,31275200000000.0,123002217599.04903,3.5396095257310627,-1.32776e-07,3.51775,0.351325,1.1307e-13
300,n,2.0007066113582535e+19,-2.0007066113582535e+19,0.62269,-203.453,9.20686e+17,5165470000000.0,38110069034.80138,2.2133553598105133,-3.1018e-07,3.437,0.0594029,1.10475e-13
400,n,1.9990358643607544e+19,-1.9990358643607544e+19,0.621591,-235.86200000000002,8.9784e+17,6679800000000.0,49947632032.22497,2.99096571946615,-3.12963e-07,2.88104,0.0874039,9.26048e-14
500,n,1.9947190502757216e+19,-1.9947190502757216e+19,0.620246,-262.415,8.71925e+17,8045050000000.0,60042178677.78312,3.7316224683366244,-3.16316e-07,2.46007,0.117655,7.90737e-14
