mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-1.496503831421239550e+00,1.776389999999999914e+00,6.456820000000000448e+00,1.022330000000000005e+01,1.274830000000000041e+01,1.417490000000000094e+01,1.478049999999999997e+01,1.483269999999999911e+01
-1.483592028647517935e+00,1.645520000000000094e+00,5.857879999999999754e+00,9.475600000000000023e+00,1.198170000000000002e+01,1.345950000000000024e+01,1.416000000000000014e+01,1.433460000000000001e+01
-1.470680225873796987e+00,2.272580000000000044e+00,5.824379999999999669e+00,9.019370000000000331e+00,1.130719999999999992e+01,1.271729999999999983e+01,1.345170000000000066e+01,1.372330000000000005e+01
-1.457768423100075150e+00,3.374190000000000023e+00,6.233590000000000408e+00,8.803119999999999834e+00,1.070680000000000121e+01,1.194660000000000011e+01,1.266140000000000043e+01,1.300799999999999912e+01
-1.444856620326354202e+00,4.788800000000000168e+00,6.916729999999999379e+00,8.726820000000000022e+00,1.013299999999999912e+01,1.113069999999999915e+01,1.178869999999999862e+01,1.219580000000000020e+01
-1.431944817552633031e+00,6.414810000000000123e+00,7.675819999999999865e+00,8.658549999999999969e+00,9.518399999999999750e+00,1.024269999999999925e+01,1.082880000000000109e+01,1.129299999999999926e+01
-1.419033014778911417e+00,8.048140000000000072e+00,8.284430000000000405e+00,8.452910000000001034e+00,8.788050000000000139e+00,9.252570000000000405e+00,9.776379999999999626e+00,1.030660000000000132e+01
-1.406121212005190468e+00,9.279349999999999099e+00,8.499760000000000204e+00,7.972389999999998977e+00,7.873890000000000278e+00,8.134529999999999816e+00,8.629239999999999355e+00,9.245900000000000674e+00
-1.393209409231468632e+00,9.590570000000001372e+00,8.106870000000000687e+00,7.112020000000000231e+00,6.728390000000000093e+00,6.874439999999999884e+00,7.391649999999999388e+00,8.124060000000000059e+00
-1.380297606457747683e+00,8.630440000000000111e+00,6.986169999999999547e+00,5.823179999999999801e+00,5.335490000000000066e+00,5.475220000000000198e+00,6.077169999999999739e+00,6.959469999999999601e+00
-1.367385803684026513e+00,6.442750000000000199e+00,5.165700000000000180e+00,4.127969999999999473e+00,3.716140000000000221e+00,3.959490000000000176e+00,4.709760000000000169e+00,5.775940000000000296e+00
-1.354474000910304898e+00,3.453619999999999912e+00,2.821439999999999948e+00,2.116960000000000175e+00,1.926760000000000028e+00,2.368759999999999977e+00,3.323360000000000092e+00,4.602459999999999773e+00
-1.341562198136583950e+00,2.548070000000000057e-01,2.210769999999999957e-01,-7.090699999999999781e-02,5.069930000000000270e-02,7.595309999999999562e-01,1.959899999999999975e+00,3.471969999999999779e+00
-1.328650395362862113e+00,-2.647829999999999906e+00,-2.359210000000000029e+00,-2.278939999999999966e+00,-1.814659999999999940e+00,-8.027530000000000499e-01,6.661950000000000927e-01,2.419669999999999987e+00
-1.315738592589141165e+00,-4.972429999999999239e+00,-4.705009999999999692e+00,-4.362739999999999618e+00,-3.571610000000000174e+00,-2.250570000000000181e+00,-5.096859999999999724e-01,1.480960000000000054e+00
-1.302826789815419994e+00,-6.661150000000000126e+00,-6.696519999999999584e+00,-6.209630000000000649e+00,-5.132920000000000371e+00,-3.520460000000000367e+00,-1.521989999999999954e+00,6.894019999999999593e-01
-1.289901381348575793e+00,-7.841339999999999755e+00,-8.300919999999999632e+00,-7.743649999999999700e+00,-6.427969999999999295e+00,-4.557570000000000121e+00,-2.330210000000000115e+00,7.482959999999999612e-02
-1.276989578574853956e+00,-8.748570000000000846e+00,-9.534480000000000288e+00,-8.918540000000000134e+00,-7.404160000000000075e+00,-5.318279999999999674e+00,-2.901219999999999910e+00,-3.380549999999999944e-01
-1.264077775801133008e+00,-9.554330000000000211e+00,-1.041460000000000008e+01,-9.705849999999999866e+00,-8.025399999999999423e+00,-5.771180000000000199e+00,-3.210509999999999753e+00,-5.306629999999999958e-01
-1.251165973027411837e+00,-1.023640000000000150e+01,-1.092919999999999980e+01,-1.008560000000000123e+01,-8.269849999999999923e+00,-5.897010000000000751e+00,-3.242619999999999614e+00,-4.910110000000000308e-01
-1.238254170253690223e+00,-1.062850000000000072e+01,-1.103859999999999886e+01,-1.004359999999999964e+01,-8.128239999999999910e+00,-5.687999999999999723e+00,-2.991060000000000052e+00,-2.137799999999999978e-01
-1.225342367479969274e+00,-1.056080000000000041e+01,-1.070190000000000019e+01,-9.575279999999999347e+00,-7.603239999999999554e+00,-5.147009999999999863e+00,-2.457720000000000127e+00,2.999450000000000172e-01
-1.212430564706247438e+00,-9.960840000000001027e+00,-9.902440000000000353e+00,-8.690080000000000027e+00,-6.709209999999999674e+00,-4.286429999999999296e+00,-1.652050000000000018e+00,1.043200000000000127e+00
-1.199518761932526489e+00,-8.855389999999999873e+00,-8.659720000000000084e+00,-7.414810000000000123e+00,-5.471499999999999808e+00,-3.126920000000000144e+00,-5.900260000000000504e-01,2.003839999999999844e+00
-1.186606959158805319e+00,-7.310439999999999827e+00,-7.025580000000000602e+00,-5.792349999999999888e+00,-3.924730000000000274e+00,-1.695829999999999949e+00,7.070199999999999818e-01,3.165329999999999977e+00
-1.173695156385083704e+00,-5.411439999999999806e+00,-5.075300000000000367e+00,-3.877219999999999445e+00,-2.110090000000000021e+00,-2.535240000000000063e-02,2.213659999999999961e+00,4.507579999999999920e+00
-1.160783353611362756e+00,-3.279610000000000358e+00,-2.896659999999999791e+00,-1.728990000000000027e+00,-7.199609999999999344e-02,1.849349999999999827e+00,3.901530000000000165e+00,6.007719999999999949e+00
-1.147871550837640919e+00,-1.063609999999999944e+00,-5.761919999999999265e-01,5.949379999999999669e-01,2.145180000000000309e+00,3.891799999999999926e+00,5.740359999999999907e+00,7.640819999999999723e+00
-1.134959748063919971e+00,1.087099999999999955e+00,1.817479999999999984e+00,3.045740000000000336e+00,4.499660000000000437e+00,6.065520000000000245e+00,7.698830000000000062e+00,9.380459999999999354e+00
-1.122047945290198800e+00,3.078110000000000124e+00,4.249719999999999942e+00,5.586780000000000079e+00,6.953450000000000131e+00,8.334680000000000533e+00,9.745000000000000995e+00,1.119919999999999938e+01
-1.109136142516477186e+00,4.971429999999999794e+00,6.726370000000000182e+00,8.192790000000000461e+00,9.471849999999999881e+00,1.066409999999999947e+01,1.184659999999999869e+01,1.306870000000000154e+01
-1.096224339742756237e+00,7.004259999999999486e+00,9.278430000000000177e+00,1.084389999999999965e+01,1.202149999999999963e+01,1.301869999999999905e+01,1.397090000000000032e+01,1.496020000000000039e+01
-1.083312536969034401e+00,9.389409999999999812e+00,1.192570000000000086e+01,1.351670000000000016e+01,1.456780000000000008e+01,1.536250000000000071e+01,1.608459999999999823e+01,1.684420000000000073e+01
-1.070400734195313452e+00,1.208869999999999933e+01,1.464460000000000051e+01,1.617640000000000100e+01,1.707209999999999894e+01,1.765810000000000102e+01,1.815340000000000131e+01,1.869059999999999988e+01
